电影中文名,电影外文名,评分,评分人数,导演,主演,类型,制片国家/地区,年份
本杰明·巴顿奇事,The Curious Case of Benjamin Button,9.0,1110477,姜文,姜文 / 葛优 / 周润发,剧情 / 喜剧 / 动作 / 西部,中国大陆/中国香港,2010
阳光姐妹淘,써니,8.8,642963,大卫·芬奇,摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西,剧情 / 喜剧 / 动作 / 西部,中国大陆/中国香港,2010
拯救大兵瑞恩,Saving Private Ryan,9.1,729267,大卫·芬奇,摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西,剧情 / 犯罪 / 悬疑 / 惊悚,美国,2010
猜火车,Trainspotting,8.6,442699,马丁·布莱斯特,摩根·弗里曼 / 布拉德·皮特 / 凯文·史派西,剧情 / 犯罪 / 悬疑 / 惊悚,美国,1995
疯狂原始人,The Croods,8.7,927969,马丁·布莱斯特,阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩,剧情,美国,1995
告白,,8.8,749483,马丁·布莱斯特,阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩,剧情,美国,1992
心灵捕手,Good Will Hunting,9.0,819862,刘镇伟,周星驰 / 吴孟达 / 罗家英,剧情,美国,1992
一一,,9.1,518800,刘镇伟,周星驰 / 吴孟达 / 罗家英,喜剧 / 爱情 / 奇幻 / 古装,中国香港/中国大陆,1992
西西里的美丽传说,Malèna,8.9,1098368,蒂姆·波顿,周星驰 / 吴孟达 / 罗家英,喜剧 / 爱情 / 奇幻 / 古装,中国香港/中国大陆,1995
真爱至上,Love Actually,8.5,813099,蒂姆·波顿,约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特,剧情 / 爱情 / 奇幻,中国香港/中国大陆,1995
菊次郎的夏天,菊次郎の夏,8.9,678733,蒂姆·波顿,约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特,剧情 / 爱情 / 奇幻,美国,1990
爱在黎明破晓前,Before Sunrise,8.8,809851,刘伟强 / 麦兆辉,刘德华 / 梁朝伟 / 黄秋生,剧情 / 爱情 / 奇幻,美国,1990
爱在日落黄昏时,Before Sunset,8.9,661040,刘伟强 / 麦兆辉,刘德华 / 梁朝伟 / 黄秋生,剧情 / 犯罪 / 惊悚,中国香港,1990
甜蜜蜜,,8.9,679966,路易·西霍尤斯,刘德华 / 梁朝伟 / 黄秋生,剧情 / 犯罪 / 惊悚,中国香港,2002
燃情岁月,Legends of the Fall,8.7,321376,路易·西霍尤斯,路易·西霍尤斯 / 瑞克·欧贝瑞 / 哈迪·琼斯,纪录片,中国香港,2002
虎口脱险,La grande vadrouille,8.9,299508,路易·西霍尤斯,路易·西霍尤斯 / 瑞克·欧贝瑞 / 哈迪·琼斯,纪录片,美国,2009
春光乍泄,春光乍洩,9.0,713460,岩井俊二,中山美穗 / 丰川悦司 / 酒井美纪,纪录片,美国,2009
饮食男女,飲食男女,9.2,730770,岩井俊二,中山美穗 / 丰川悦司 / 酒井美纪,剧情 / 爱情,日本,2009
熔炉,도가니,9.3,1039640,姜文,中山美穗 / 丰川悦司 / 酒井美纪,剧情 / 爱情,日本,1995
海盗电台,The Boat That Rocked,8.5,246593,姜文,姜文 / 香川照之 / 袁丁,剧情 / 喜剧,日本,1995
穿越时空的少女,時をかける少女,8.6,432281,姜文,姜文 / 香川照之 / 袁丁,剧情 / 喜剧,中国大陆,2000
贫民窟的百万富翁,Slumdog Millionaire,8.6,811547,朗·霍华德,罗素·克劳 / 艾德·哈里斯 / 詹妮弗·康纳利,剧情 / 喜剧,中国大陆,2000
电锯惊魂8：竖锯,Jigsaw,7.0,102857,朗·霍华德,罗素·克劳 / 艾德·哈里斯 / 詹妮弗·康纳利,传记 / 剧情,美国,2000
秒速5厘米,秒速5センチメートル,8.3,621441,彼得·杰克逊,罗素·克劳 / 艾德·哈里斯 / 詹妮弗·康纳利,传记 / 剧情,美国,2001
东邪西毒,東邪西毒,8.6,639932,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩,剧情 / 动作 / 奇幻 / 冒险,美国,2001
碧海蓝天,Le grand bleu,8.6,158294,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩,剧情 / 动作 / 奇幻 / 冒险,新西兰/美国/英国,2001
雨人,Rain Man,8.7,446338,奥利维埃·纳卡什 / 埃里克·托莱达诺,弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼,剧情 / 动作 / 奇幻 / 冒险,新西兰/美国/英国,2001
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,8.9,632805,奥利维埃·纳卡什 / 埃里克·托莱达诺,弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼,剧情 / 喜剧,法国,2001
黑天鹅,Black Swan,8.6,852802,彼得·杰克逊,弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼,剧情 / 喜剧,法国,2011
撞车,Crash,8.5,309398,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 多米尼克·莫纳汉,剧情 / 动作 / 奇幻 / 冒险,法国,2011
你看起来好像很好吃,おまえうまそうだな,8.9,379427,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 多米尼克·莫纳汉,剧情 / 动作 / 奇幻 / 冒险,美国/新西兰,2002
人工智能,A.I. Artificial Intelligence,8.7,508933,昆汀·塔伦蒂诺,约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫,剧情 / 动作 / 奇幻 / 冒险,美国/新西兰,2002
荒野生存,Into the Wild,8.6,241889,昆汀·塔伦蒂诺,约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫,剧情 / 喜剧 / 犯罪,美国,2002
恋恋笔记本,The Notebook,8.5,756510,克里斯托弗·诺兰,约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫,剧情 / 喜剧 / 犯罪,美国,1994
七武士,七人の侍,9.3,238601,克里斯托弗·诺兰,克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,美国,1994
两小无猜,Jeux d'enfants,7.8,468428,克里斯托弗·诺兰,克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,美国/英国,2008
卢旺达饭店,Hotel Rwanda,8.9,370299,詹姆斯·卡梅隆,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,美国/英国,2008
我是山姆,I Am Sam,9.0,380042,詹姆斯·卡梅隆,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗,动作 / 科幻 / 冒险,美国,2008
朗读者,The Reader,8.6,488000,梅尔·吉布森,萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗,动作 / 科幻 / 冒险,美国,2009
燕尾蝶,スワロウテイル,8.7,194241,梅尔·吉布森,梅尔·吉布森 / 苏菲·玛索 / 布莱恩·考克斯,动作 / 传记 / 剧情 / 历史 / 战争,美国,2009
幸福终点站,The Terminal,8.8,647421,梅尔·吉布森,梅尔·吉布森 / 苏菲·玛索 / 布莱恩·考克斯,动作 / 传记 / 剧情 / 历史 / 战争,美国,1995
海洋,Océans,9.1,160200,张艺谋,葛优 / 巩俐 / 姜武,动作 / 传记 / 剧情 / 历史 / 战争,美国,1995
音乐之声,The Sound of Music,9.1,687788,张艺谋,葛优 / 巩俐 / 姜武,剧情 / 历史 / 家庭,中国大陆/中国香港,1995
浪潮,Die Welle,8.7,296230,安德鲁·斯坦顿,葛优 / 巩俐 / 姜武,剧情 / 历史 / 家庭,中国大陆/中国香港,1994
摩登时代,Modern Times,9.3,349651,安德鲁·斯坦顿,本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林,科幻 / 动画 / 冒险,中国大陆/中国香港,1994
