中文电影名,外文电影名,电影评分,评分人数,电影简介,电影详情
驯龙高手,How to Train Your Dragon,8.7,638087,和谐的生活离不开摸头与被摸头。,导演: 迪恩·德布洛斯 Dean DeBlois   克里斯·桑德斯 Chris Sanders主演:... 2010 美国 动画 奇幻 冒险
玛丽和马克思,Mary and Max,8.9,372210,你是我最好的朋友，你是我唯一的朋友 。,导演: 亚当·艾略特 Adam Elliot主演: 托妮·科莱特 Toni Collette   菲利... 2009 澳大利亚 美国 剧情 喜剧 动画
幸福终点站,The Terminal,8.8,458520,有时候幸福需要等一等。,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 汤姆·汉克斯 Tom Hanks... 2004 美国 喜剧 剧情 爱情
天书奇谭,缺失,9.2,196681,传奇的年代，醉人的童话。,导演: 王树忱 Shuchen Wang   钱运达 Yunda Qian主演: 丁建华 Jianhua Din... 1983(中国大陆) 中国大陆 动画 奇幻
哈利·波特与密室,Harry Potter and the Chamber of Secrets,8.8,552468,魔法的密室之门已打开...,导演: Chris Columbus主演: 丹尼尔·雷德克里夫 Daniel Radcliffe   艾玛... 2002 美国 英国 德国 奇幻 冒险
告白,缺失,8.7,590366,没有一人完全善，也没有一人完全恶。,导演: 中岛哲也 Tetsuya Nakashima主演: 松隆子 Takako Matsu   冈田将生 ... 2010 日本 剧情 悬疑
大鱼,Big Fish,8.8,482094,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,导演: 蒂姆·波顿 Tim Burton主演: 伊万·麦克格雷格 Ewan McGregor   阿... 2003 美国 剧情 家庭 奇幻 冒险
阳光姐妹淘,써니,8.8,521168,再多各自牛逼的时光，也比不上一起傻逼的岁月。,导演: 姜炯哲 Hyeong-Cheol Kang主演: 沈恩京 Eun-kyung Shim   闵孝琳 Hy... 2011 韩国 剧情 喜剧
射雕英雄传之东成西就,射鵰英雄傳之東成西就,8.7,541093,百看不厌。,导演: 刘镇伟 Jeffrey Lau主演: 梁朝伟 Tony Leung Chiu Wai   林青霞 Bri... 1993 中国香港 喜剧 奇幻 武侠 古装
怪兽电力公司,Monsters,Inc.,8.7,549266,不要给它起名字，起了名字就有感情了。
时空恋旅人,About Time,8.8,498896,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,导演: 理查德·柯蒂斯 Richard Curtis主演: 多姆纳尔·格里森 Domhnall Gl... 2013 英国 喜剧 爱情 奇幻
恐怖直播,더 테러 라이브,8.7,543070,恐怖分子的“秋菊打官司”。,导演: 金秉祐 Byeong-woo Kim主演: 河正宇 Jung-woo Ha   李璟荣 Kyeong-y... 2013 韩国 剧情 犯罪 悬疑
神偷奶爸,Despicable Me,8.6,809411,"""Mr. I Dont Care其实也有Care的时候。""",导演: 皮艾尔·柯芬 Pierre Coffin   克里斯·雷纳德 Chris Renaud主演: ... 2010 美国 法国 喜剧 动画 冒险
傲慢与偏见,Pride &amp; Prejudice,8.7,652622,爱是摈弃傲慢与偏见之后的曙光。,导演: 乔·怀特 Joe Wright主演: 凯拉·奈特莉 Keira Knightley   马修·... 2005 法国 英国 美国 剧情 爱情
玩具总动员3,Toy Story 3,8.9,423207,跨度十五年的欢乐与泪水。,导演: 李·昂克里奇 Lee Unkrich主演: 汤姆·汉克斯 Tom Hanks   蒂姆·艾... 2010 美国 喜剧 动画 奇幻 冒险
教父3,The Godfather: Part III,9.0,296468,任何信念的力量，都无法改变命运。,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 阿尔·帕西诺 A... 1990 美国 剧情 犯罪
釜山行,부산행,8.6,982680,揭露人性的丧尸题材力作。,导演: 延尚昊 Sang-ho Yeon主演: 孔侑 Yoo Gong   郑有美 Yu-mi Jung   马... 2016 韩国 动作 惊悚 灾难
一个叫欧维的男人决定去死,En man som heter Ove,8.9,351720,惠及一生的美丽。,导演: 汉内斯·赫尔姆 Hannes Holm主演: 罗夫·拉斯加德 Rolf Lassgård... 2015 瑞典 剧情
哪吒闹海,缺失,9.1,211195,想你时你在闹海。,导演: 严定宪 Dingxian Yan   王树忱 Shuchen Wang主演: 梁正晖 Zhenghui ... 1979 中国大陆 冒险 动画 奇幻
血战钢锯岭,Hacksaw Ridge,8.7,666691,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,导演: 梅尔·吉布森 Mel Gibson主演: 安德鲁·加菲尔德 Andrew Garfield  ... 2016 澳大利亚 美国 剧情 传记 历史 战争
被解救的姜戈,Django Unchained,8.8,503941,热血沸腾，那个低俗、性感的无耻混蛋又来了。,导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 杰米·福克斯 Jamie Foxx  ... 2012 美国 剧情 动作 西部 冒险
未麻的部屋,Perfect Blue,9.0,246041,好的剧本是，就算你猜到了结局也猜不到全部。,导演: 今敏 Satoshi Kon主演: 岩男润子 Junko Iwao   松本梨香 Rica Matsu... 1997 日本 动画 奇幻 惊悚
七武士,七人の侍,9.3,160405,时代悲歌。,导演: 黑泽明 Akira Kurosawa主演: 三船敏郎 Toshirô Mifune   志村乔 ... 1954 日本 动作 冒险 剧情
我是山姆,I Am Sam,9.0,266124,爱并不需要智商 。,导演: 杰茜·尼尔森 Jessie Nelson主演: Sean Penn   Dakota Fanning   Mi... 2001 美国 剧情 家庭
头号玩家,Ready Player One,8.7,1153240,写给影迷，动漫迷和游戏迷的一封情书。,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 泰伊·谢里丹 Tye Sheri... 2018 美国 动作 科幻 冒险
喜宴,囍宴,8.9,285416,中国家庭的喜怒哀乐忍。,导演: 李安 Ang Lee主演: 赵文瑄 Winston Chao   郎雄 Sihung Lung   归亚... 1993 中国台湾 美国 剧情 喜剧 爱情 同性 家庭
电锯惊魂,Saw,8.7,434625,真相就在眼前。,导演: 詹姆斯·温 James Wan主演: 雷·沃纳尔 Leigh Whannell   加利·艾... 2004 美国 悬疑 惊悚 恐怖
