id,league_id,season,stage,match_api_id,local,team_api_id,team_goal
8312,1729,2015/2016,36,1989068,away,10252,2
8313,1729,2015/2016,36,1989068,home,9817,3
8314,1729,2015/2016,36,1989069,away,8654,3
8315,1729,2015/2016,36,1989069,home,8659,0
8316,1729,2015/2016,37,1989070,away,10261,0
8317,1729,2015/2016,37,1989070,home,10252,0
8318,1729,2015/2016,37,1989071,away,8659,1
8319,1729,2015/2016,37,1989071,home,8678,1
8320,1729,2015/2016,37,1989072,away,10194,1
8321,1729,2015/2016,37,1989072,home,9826,2
8322,1729,2015/2016,37,1989073,away,8668,1
8323,1729,2015/2016,37,1989073,home,8197,3
8324,1729,2015/2016,37,1989074,away,9817,0
8325,1729,2015/2016,37,1989074,home,8650,2
8326,1729,2015/2016,37,1989075,away,9825,2
8327,1729,2015/2016,37,1989075,home,8456,2
8328,1729,2015/2016,37,1989076,away,10260,1
8329,1729,2015/2016,37,1989076,home,9850,0
8330,1729,2015/2016,37,1989077,away,8455,2
8331,1729,2015/2016,37,1989077,home,8472,3
8332,1729,2015/2016,37,1989078,away,8466,2
8333,1729,2015/2016,37,1989078,home,8586,1
8334,1729,2015/2016,37,1989079,away,10003,4
8335,1729,2015/2016,37,1989079,home,8654,1
8336,1729,2015/2016,38,1987597,away,10252,0
8337,1729,2015/2016,38,1987597,home,9825,4
8338,1729,2015/2016,38,1987598,away,8197,1
8339,1729,2015/2016,38,1987598,home,8455,1
8340,1729,2015/2016,38,1987600,away,8678,1
8341,1729,2015/2016,38,1987600,home,10260,3
8342,1729,2015/2016,38,1987601,away,8586,1
8343,1729,2015/2016,38,1987601,home,10261,5
8344,1729,2015/2016,38,1987602,away,9826,1
8345,1729,2015/2016,38,1987602,home,8466,4
8346,1729,2015/2016,38,1987603,away,8654,1
8347,1729,2015/2016,38,1987603,home,10194,2
8348,1729,2015/2016,38,1987604,away,8456,1
8349,1729,2015/2016,38,1987604,home,10003,1
8350,1729,2015/2016,38,1987605,away,8472,2
8351,1729,2015/2016,38,1987605,home,9817,2
8352,1729,2015/2016,38,1987606,away,8650,1
8353,1729,2015/2016,38,1987606,home,8659,1
8354,4769,2008/2009,1,483130,away,7819,1
8355,4769,2008/2009,1,483130,home,9827,2
8356,4769,2008/2009,1,483131,away,9831,0
8357,4769,2008/2009,1,483131,home,9746,1
8358,4769,2008/2009,1,483133,away,9941,0
8359,4769,2008/2009,1,483133,home,9748,3
8360,4769,2008/2009,1,483134,away,9847,0
8361,4769,2008/2009,1,483134,home,9829,1
8362,4769,2008/2009,1,483135,away,8639,0
8363,4769,2008/2009,1,483135,home,8481,0
8364,4769,2008/2009,1,483137,away,9855,2
8365,4769,2008/2009,1,483137,home,9874,1
8366,4769,2008/2009,1,483138,away,9853,0
8367,4769,2008/2009,1,483138,home,9873,1
8368,4769,2008/2009,2,483140,away,9851,0
8369,4769,2008/2009,2,483140,home,9855,1
8370,4769,2008/2009,2,483142,away,9748,0
8371,4769,2008/2009,2,483142,home,8689,0
8372,4769,2008/2009,2,483143,away,8583,0
8373,4769,2008/2009,2,483143,home,8592,4
8374,4769,2008/2009,2,483144,away,9829,1
8375,4769,2008/2009,2,483144,home,9830,1
8376,4769,2008/2009,2,483145,away,8481,1
8377,4769,2008/2009,2,483145,home,9831,2
8378,4769,2008/2009,2,483146,away,9827,0
8379,4769,2008/2009,2,483146,home,9847,1
8380,4769,2008/2009,2,483147,away,9874,1
8381,4769,2008/2009,2,483147,home,9853,2
8382,4769,2008/2009,3,483149,away,9831,1
8383,4769,2008/2009,3,483149,home,8583,0
8384,4769,2008/2009,3,483150,away,9830,0
8385,4769,2008/2009,3,483150,home,9827,2
8386,4769,2008/2009,3,483151,away,8592,1
8387,4769,2008/2009,3,483151,home,9746,0
8388,4769,2008/2009,3,483153,away,9855,0
8389,4769,2008/2009,3,483153,home,9748,2
8390,4769,2008/2009,3,483154,away,7819,1
8391,4769,2008/2009,3,483154,home,9829,1
8392,4769,2008/2009,3,483156,away,8639,1
8393,4769,2008/2009,3,483156,home,9851,2
8394,4769,2008/2009,3,483158,away,8689,1
8395,4769,2008/2009,3,483158,home,9873,3
8396,4769,2008/2009,4,483159,away,9847,1
8397,4769,2008/2009,4,483159,home,7819,0
8398,4769,2008/2009,4,483160,away,9829,0
8399,4769,2008/2009,4,483160,home,9855,1
8400,4769,2008/2009,4,483161,away,9827,1
8401,4769,2008/2009,4,483161,home,8639,2
8402,4769,2008/2009,4,483162,away,8583,2
8403,4769,2008/2009,4,483162,home,8689,0
8404,4769,2008/2009,4,483164,away,9746,1
8405,4769,2008/2009,4,483164,home,8481,2
8406,4769,2008/2009,4,483166,away,9873,0
8407,4769,2008/2009,4,483166,home,9831,2
8408,4769,2008/2009,4,483167,away,9748,1
8409,4769,2008/2009,4,483167,home,9853,0
8410,4769,2008/2009,5,483169,away,8481,1
8411,4769,2008/2009,5,483169,home,8583,1
8412,4769,2008/2009,5,483170,away,8592,1
8413,4769,2008/2009,5,483170,home,9827,1
8414,4769,2008/2009,5,483171,away,9853,0
8415,4769,2008/2009,5,483171,home,7819,2
8416,4769,2008/2009,5,483173,away,9831,2
8417,4769,2008/2009,5,483173,home,9748,3
8418,4769,2008/2009,5,483174,away,8689,0
8419,4769,2008/2009,5,483174,home,9829,2
8420,4769,2008/2009,5,483175,away,9830,0
8421,4769,2008/2009,5,483175,home,9847,1
8422,4769,2008/2009,5,483177,away,8639,1
8423,4769,2008/2009,5,483177,home,9874,1
8424,4769,2008/2009,5,483178,away,9855,1
8425,4769,2008/2009,5,483178,home,9873,1
8426,4769,2008/2009,6,483179,away,9827,1
8427,4769,2008/2009,6,483179,home,9855,0
8428,4769,2008/2009,6,483181,away,7819,1
8429,4769,2008/2009,6,483181,home,8689,1
8430,4769,2008/2009,6,483182,away,8583,2
8431,4769,2008/2009,6,483182,home,8639,3
8432,4769,2008/2009,6,483183,away,9829,0
8433,4769,2008/2009,6,483183,home,8592,0
8434,4769,2008/2009,6,483184,away,9851,0
8435,4769,2008/2009,6,483184,home,8481,0
8436,4769,2008/2009,6,483185,away,9873,0
8437,4769,2008/2009,6,483185,home,9830,2
8438,4769,2008/2009,6,483187,away,9847,0
8439,4769,2008/2009,6,483187,home,9853,1
8440,4769,2008/2009,6,483188,away,9874,1
8441,4769,2008/2009,6,483188,home,9941,2
8442,4769,2008/2009,7,483189,away,9746,0
8443,4769,2008/2009,7,483189,home,8583,3
8444,4769,2008/2009,7,483190,away,9853,1
8445,4769,2008/2009,7,483190,home,9827,1
8446,4769,2008/2009,7,483191,away,9830,0
8447,4769,2008/2009,7,483191,home,7819,3
8448,4769,2008/2009,7,483193,away,8481,1
8449,4769,2008/2009,7,483193,home,9748,2
8450,4769,2008/2009,7,483194,away,8639,2
8451,4769,2008/2009,7,483194,home,9829,0
8452,4769,2008/2009,7,483195,away,9855,1
8453,4769,2008/2009,7,483195,home,9847,0
8454,4769,2008/2009,7,483196,away,9831,0
8455,4769,2008/2009,7,483196,home,9851,1
8456,4769,2008/2009,7,483197,away,8689,1
8457,4769,2008/2009,7,483197,home,9874,1
8458,4769,2008/2009,7,483198,away,9941,1
8459,4769,2008/2009,7,483198,home,9873,0
8460,4769,2008/2009,8,483199,away,9830,1
8461,4769,2008/2009,8,483199,home,9855,0
8462,4769,2008/2009,8,483200,away,8682,2
8463,4769,2008/2009,8,483200,home,9746,1
8464,4769,2008/2009,8,483201,away,9873,0
8465,4769,2008/2009,8,483201,home,8639,1
8466,4769,2008/2009,8,483202,away,9827,2
8467,4769,2008/2009,8,483202,home,8689,1
8468,4769,2008/2009,8,483203,away,7819,1
8469,4769,2008/2009,8,483203,home,8592,2
8470,4769,2008/2009,8,483204,away,9847,1
8471,4769,2008/2009,8,483204,home,8481,1
8472,4769,2008/2009,8,483205,away,9874,1
8473,4769,2008/2009,8,483205,home,9831,1
8474,4769,2008/2009,8,483206,away,9748,0
8475,4769,2008/2009,8,483206,home,9851,3
8476,4769,2008/2009,8,483207,away,9829,0
8477,4769,2008/2009,8,483207,home,9853,2
8478,4769,2008/2009,8,483208,away,8583,0
8479,4769,2008/2009,8,483208,home,9941,1
8480,4769,2008/2009,9,483209,away,9851,0
8481,4769,2008/2009,9,483209,home,8583,0
8482,4769,2008/2009,9,483210,away,9941,1
8483,4769,2008/2009,9,483210,home,9827,2
8484,4769,2008/2009,9,483211,away,9855,2
8485,4769,2008/2009,9,483211,home,7819,2
8486,4769,2008/2009,9,483212,away,8481,0
8487,4769,2008/2009,9,483212,home,8682,2
8488,4769,2008/2009,9,483213,away,8639,2
8489,4769,2008/2009,9,483213,home,9748,2
8490,4769,2008/2009,9,483214,away,9831,2
8491,4769,2008/2009,9,483214,home,9829,1
8492,4769,2008/2009,9,483215,away,9853,0
8493,4769,2008/2009,9,483215,home,9830,1
8494,4769,2008/2009,9,483216,away,8689,2
8495,4769,2008/2009,9,483216,home,9847,3
8496,4769,2008/2009,9,483218,away,8592,3
8497,4769,2008/2009,9,483218,home,9873,1
8498,4769,2008/2009,10,483219,away,9748,0
8499,4769,2008/2009,10,483219,home,8583,0
8500,4769,2008/2009,10,483221,away,7819,2
8501,4769,2008/2009,10,483221,home,8639,2
8502,4769,2008/2009,10,483222,away,9830,0
8503,4769,2008/2009,10,483222,home,8689,3
8504,4769,2008/2009,10,483223,away,9847,4
8505,4769,2008/2009,10,483223,home,8592,2
8506,4769,2008/2009,10,483224,away,9874,1
8507,4769,2008/2009,10,483224,home,8481,1
8508,4769,2008/2009,10,483225,away,9827,2
8509,4769,2008/2009,10,483225,home,9831,2
8510,4769,2008/2009,10,483227,away,9855,2
8511,4769,2008/2009,10,483227,home,9853,0
8512,4769,2008/2009,10,483228,away,9829,0
8513,4769,2008/2009,10,483228,home,9941,0
8514,4769,2008/2009,11,483230,away,9831,1
8515,4769,2008/2009,11,483230,home,7819,1
8516,4769,2008/2009,11,483231,away,8639,0
8517,4769,2008/2009,11,483231,home,9855,0
8518,4769,2008/2009,11,483233,away,8481,1
8519,4769,2008/2009,11,483233,home,9829,3
8520,4769,2008/2009,11,483234,away,8592,1
8521,4769,2008/2009,11,483234,home,9830,1
8522,4769,2008/2009,11,483235,away,9941,1
8523,4769,2008/2009,11,483235,home,9847,0
8524,4769,2008/2009,11,483236,away,8689,4
8525,4769,2008/2009,11,483236,home,9853,1
8526,4769,2008/2009,12,483240,away,9829,3
8527,4769,2008/2009,12,483240,home,9746,2
8528,4769,2008/2009,12,483241,away,9830,0
8529,4769,2008/2009,12,483241,home,8639,2
8530,4769,2008/2009,12,483242,away,9855,1
8531,4769,2008/2009,12,483242,home,8689,1
8532,4769,2008/2009,12,483244,away,9853,1
8533,4769,2008/2009,12,483244,home,8592,3
8534,4769,2008/2009,12,483245,away,9827,0
8535,4769,2008/2009,12,483245,home,8481,1
8536,4769,2008/2009,12,483246,away,9847,0
8537,4769,2008/2009,12,483246,home,9831,1
8538,4769,2008/2009,12,483247,away,9874,0
8539,4769,2008/2009,12,483247,home,9851,1
8540,4769,2008/2009,12,483248,away,7819,1
8541,4769,2008/2009,12,483248,home,9941,0
8542,4769,2008/2009,13,483249,away,8583,0
8543,4769,2008/2009,13,483249,home,9827,2
8544,4769,2008/2009,13,483250,away,9746,1
8545,4769,2008/2009,13,483250,home,7819,0
8546,4769,2008/2009,13,483251,away,8592,3
8547,4769,2008/2009,13,483251,home,9855,0
8548,4769,2008/2009,13,483252,away,9831,1
8549,4769,2008/2009,13,483252,home,8689,0
8550,4769,2008/2009,13,483253,away,9748,1
8551,4769,2008/2009,13,483253,home,9829,0
8552,4769,2008/2009,13,483255,away,8639,0
8553,4769,2008/2009,13,483255,home,9847,1
8554,4769,2008/2009,13,483256,away,9851,3
8555,4769,2008/2009,13,483256,home,9853,0
8556,4769,2008/2009,13,483258,away,8481,1
8557,4769,2008/2009,13,483258,home,9873,0
8558,4769,2008/2009,14,483259,away,9874,0
8559,4769,2008/2009,14,483259,home,8583,1
8560,4769,2008/2009,14,483260,away,9847,3
8561,4769,2008/2009,14,483260,home,9746,1
8562,4769,2008/2009,14,483261,away,9873,0
8563,4769,2008/2009,14,483261,home,8682,1
8564,4769,2008/2009,14,483262,away,9853,0
8565,4769,2008/2009,14,483262,home,8639,3
8566,4769,2008/2009,14,483263,away,9827,1
8567,4769,2008/2009,14,483263,home,9748,2
8568,4769,2008/2009,14,483264,away,8689,3
8569,4769,2008/2009,14,483264,home,8592,2
8570,4769,2008/2009,14,483265,away,7819,1
8571,4769,2008/2009,14,483265,home,8481,1
8572,4769,2008/2009,14,483266,away,9830,1
8573,4769,2008/2009,14,483266,home,9831,2
8574,4769,2008/2009,14,483267,away,9829,1
8575,4769,2008/2009,14,483267,home,9851,2
8576,4769,2008/2009,15,483269,away,9851,1
8577,4769,2008/2009,15,483269,home,9827,1
8578,4769,2008/2009,15,483270,away,8583,0
8579,4769,2008/2009,15,483270,home,7819,1
8580,4769,2008/2009,15,483271,away,9746,0
8581,4769,2008/2009,15,483271,home,9855,0
8582,4769,2008/2009,15,483274,away,8682,0
8583,4769,2008/2009,15,483274,home,9829,3
8584,4769,2008/2009,15,483275,away,8481,1
8585,4769,2008/2009,15,483275,home,9830,0
8586,4769,2008/2009,15,483276,away,9748,0
8587,4769,2008/2009,15,483276,home,9847,1
8588,4769,2008/2009,15,483277,away,9831,1
8589,4769,2008/2009,15,483277,home,9853,0
8590,4769,2008/2009,15,483278,away,9874,2
8591,4769,2008/2009,15,483278,home,9873,2
8592,4769,2008/2009,16,483279,away,9829,1
8593,4769,2008/2009,16,483279,home,8583,0
8594,4769,2008/2009,16,483280,away,9830,2
8595,4769,2008/2009,16,483280,home,9746,0
8596,4769,2008/2009,16,483281,away,7819,0
8597,4769,2008/2009,16,483281,home,8682,2
8598,4769,2008/2009,16,483282,away,8689,1
8599,4769,2008/2009,16,483282,home,8639,1
8600,4769,2008/2009,16,483283,away,9873,0
8601,4769,2008/2009,16,483283,home,9748,0
8602,4769,2008/2009,16,483284,away,9853,2
8603,4769,2008/2009,16,483284,home,8481,1
8604,4769,2008/2009,16,483285,away,9855,0
8605,4769,2008/2009,16,483285,home,9831,0
8606,4769,2008/2009,16,483286,away,9847,0
8607,4769,2008/2009,16,483286,home,9851,1
8608,4769,2008/2009,16,483287,away,9827,0
8609,4769,2008/2009,16,483287,home,9874,0
8610,4769,2008/2009,16,483288,away,8592,0
8611,4769,2008/2009,16,483288,home,9941,0
8612,4769,2008/2009,17,483289,away,9873,1
8613,4769,2008/2009,17,483289,home,9827,2
8614,4769,2008/2009,17,483290,away,9851,1
