league_id,season,stage,match_api_id,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
1,2009/2010,13,665536,2009/10/31 0:00,8635,9994,2,0
1,2009/2010,13,665541,2009/11/1 0:00,9991,9993,0,1
1,2009/2010,13,665543,2009/10/31 0:00,8571,8203,2,0
1,2009/2010,14,665548,2009/11/8 0:00,9985,8342,3,1
1,2009/2010,14,665554,2009/11/7 0:00,9984,10001,2,1
1,2009/2010,14,665556,2009/11/7 0:00,9994,8571,0,0
1,2009/2010,15,665570,2009/11/21 0:00,8635,9999,3,1
1,2009/2010,15,665574,2009/11/22 0:00,10000,8203,4,1
1,2009/2010,15,665575,2009/11/21 0:00,9991,9985,2,1
1,2009/2010,16,665586,2009/11/27 0:00,8635,8571,1,0
1,2009/2010,16,665591,2009/11/28 0:00,9991,9984,3,1
1,2009/2010,16,665596,2009/11/28 0:00,9993,9999,3,0
1,2009/2010,17,665598,2009/12/5 0:00,9985,9993,2,2
1,2009/2010,17,665603,2009/12/6 0:00,9984,8635,1,3
1,2009/2010,17,665604,2009/12/6 0:00,9994,8342,0,1
1,2009/2010,18,665619,2009/12/13 0:00,10000,9984,1,0
1,2009/2010,19,665626,2010/2/3 0:00,8635,8342,3,2
1,2009/2010,19,665632,2009/12/19 0:00,9994,9991,0,1
1,2009/2010,19,665633,2009/12/19 0:00,8571,10001,1,1
1,2009/2010,19,665634,2010/2/2 0:00,8203,9993,1,0
1,2009/2010,2,665326,2009/8/9 0:00,8342,9994,2,0
1,2009/2010,2,665327,2009/8/8 0:00,8635,9984,3,2
1,2009/2010,2,665329,2009/8/8 0:00,10000,9987,2,2
1,2009/2010,2,665330,2009/8/9 0:00,9991,8203,2,1
1,2009/2010,2,665332,2009/8/8 0:00,10001,8571,1,1
1,2009/2010,2,665333,2009/8/7 0:00,9993,9985,1,1
1,2009/2010,20,665639,2009/12/26 0:00,8342,9984,2,1
1,2009/2010,20,665641,2009/12/26 0:00,9985,9994,2,0
1,2009/2010,20,665647,2009/12/27 0:00,9991,8635,2,2
1,2009/2010,21,665653,2009/12/30 0:00,8635,10000,2,1
1,2009/2010,21,665655,2009/12/29 0:00,9984,9985,2,0
1,2009/2010,21,665657,2009/12/30 0:00,9994,9993,2,0
1,2009/2010,21,665659,2009/12/30 0:00,8571,8342,1,4
1,2009/2010,22,665666,2010/1/17 0:00,9985,8635,0,4
1,2009/2010,22,665672,2010/1/17 0:00,9993,9984,1,4
1,2009/2010,23,665674,2010/1/24 0:00,9987,8342,2,0
1,2009/2010,23,665675,2010/1/23 0:00,10000,9997,2,0
1,2009/2010,23,665679,2010/1/23 0:00,9994,9999,1,4
1,2009/2010,23,665680,2010/1/23 0:00,8571,9993,3,0
1,2009/2010,23,665681,2010/1/24 0:00,8203,9985,0,0
