f1,stats_shoton,coordinates_0,coordinates_1,event_incident_typefk,elapsed,subtype,player1,sortorder,team,id,n,original_index
2593,0,27,8,876,54,blocked_header,23268,2,8668,4910293,433,226
2594,1,25,8,553,55,big chance shot,181276,1,8668,4910300,438,226
2595,0,4,14,157,59,direct_freekick,215384,2,8668,4910440,472,226
2596,0,34,5,61,68,blocked_shot,77690,0,8668,4910673,526,226
2597,1,32,13,155,68,distance,215384,2,8668,4910681,529,226
2598,1,28,64,553,69,big chance shot,30829,3,10260,4910706,547,226
2599,1,28,68,553,79,big chance shot,413557,2,10260,4910946,654,226
2600,0,,,61,13,blocked_shot,24150,5,10260,1132242,244,227
2601,0,,,494,15,blocked_shot,40945,0,10260,1132246,248,227
2602,0,,,61,16,blocked_shot,40945,4,10260,1132259,252,227
2603,1,,,137,18,distance,47382,0,10261,1132264,256,227
2604,0,,,494,24,blocked_shot,30829,0,10260,1132292,262,227
2605,1,,,135,38,shot,24205,1,10261,1132361,277,227
2606,1,,,135,54,shot,47382,2,10261,1132440,288,227
2607,0,,,61,59,blocked_shot,30829,4,10260,1132463,298,227
2608,1,,,153,82,shot,27430,1,10260,1132528,327,227
2609,1,,,137,90,distance,37845,0,10261,1132545,332,227
2610,0,,,61,90,blocked_shot,27430,2,10260,1132548,337,227
2611,1,,,311,3,deflected,113836,3,8472,1246190,291,228
2612,0,,,61,21,blocked_shot,23933,4,10261,1246320,273,228
2613,1,,,154,24,header,47382,1,10261,1246348,320,228
2614,1,,,149,26,distance,24205,1,10261,1246368,332,228
2615,0,,,61,34,blocked_shot,33852,2,10261,1246439,310,228
2616,0,,,61,45,blocked_shot,47382,2,10261,1246603,288,228
2617,0,,,494,54,blocked_shot,24205,0,10261,1246970,360,228
2618,1,,,136,56,header,23949,1,8472,1247013,363,228
2619,0,,,61,61,blocked_shot,23933,3,10261,1247060,307,228
2620,1,,,312,65,deflected,33852,0,10261,1247086,311,228
2621,1,,,147,66,shot,36786,0,8472,1247095,349,228
2622,0,,,494,74,blocked_shot,24205,0,10261,1247163,365,228
2623,0,,,61,79,blocked_shot,47382,1,10261,1247237,322,228
2624,0,,,61,85,blocked_shot,37475,3,10261,1247305,377,228
2625,0,,,61,88,blocked_shot,23949,0,8472,1247329,374,228
